Host,Title,Guest(s),Source,Type,Summary & Link,Date Added,Plays,List,Behavior Changed,Link
Patrick O'Shaughnessy,Special Situations in Private Markets,Jeremy Giffon,Invest Like the Best,Podcast,https://twitter.com/Tyler_Rongione/status/1680622491314651139?s=20,"July 12, 2023",2,https://twitter.com/i/lists/1493641106155790336,Staying Off Org Charts,
Jim O'Shaughnessy,Everything is Bullshit,David Pinsof,Infinite Loops,Video,https://twitter.com/Tyler_Rongione/status/1661058950513713153?s=20,"May 23, 2023",2,https://twitter.com/i/lists/1493641106155790336,,
Patrick O'Shaughnessy,Trail Magic,Multi,Invest Like the Best,Podcast,https://open.spotify.com/episode/1tIxtNrnK4a6T0VO35XAsv,"April 10, 2023",2,https://twitter.com/i/lists/1493641106155790336,,
Bari Weiss,"Bank Runs, Crypto Scams and World-Transforming AI ",Tyler Cowen,Honestly,Podcast,https://open.spotify.com/episode/5BJIkdezssrKOidAqEYP9K?si=Qc0sOEfhQU-biN6hGHGKOw,"March 22, 2023",2,https://twitter.com/i/lists/1493641106155790336,,
Tim Ferriss,How Great Investors Make Decisions,Michael Mauboussin,The Tim Ferriss Podcast,Podcast,https://twitter.com/Tyler_Rongione/status/1635283069707096072,"March 13, 2023",2,https://twitter.com/i/lists/1493641106155790336,,
Patrick O'Shaughnessy,Creating Magic…,John Fio,Invest Like the Best,Podcast,https://twitter.com/Tyler_Rongione/status/1612944039292059648?s=20&t=sRR59Vyfwg1CFA1bnA4Wqg,"January 11, 2023",2,https://twitter.com/i/lists/1493641106155790336,,
Patrick O'Shaughnessy,The No Stats All-Star,Shane Battier,Business Breakdowns,Podcast,https://twitter.com/Tyler_Rongione/status/1595555969588682753?s=20&t=03vGIC76UPHTHMEvbrJotQ,"November 23, 2022",2,https://twitter.com/i/lists/1493641106155790336,,
Jim O'Shaughnessy,Pick The Right Heroes,David Senra,Infinite Loops,Podcast,https://open.spotify.com/episode/5FNKUbQp8OwIRc1QIVHMe8,"October 14, 2022",2,https://twitter.com/i/lists/1493641061390037002,,
David Senra,Jay-Z,Himself,Founders,Podcast,https://twitter.com/Tyler_Rongione/status/1572349590627557383?s=20&t=OsiwT7ZEfy5z3WYzFfHLfg,"September 21, 2022",2,https://twitter.com/i/lists/1493641061390037002,,
Bari Weiss,Eating Ourselves to Death,Dr. Casey Means,Honestly,Podcast,https://twitter.com/Tyler_Rongione/status/1570446637448699905?s=20&t=gXAFLZp850YO1GmN9jvMTA,"September 15, 2022",2,https://twitter.com/i/lists/1570451356695003136,,
John Collison,Collison with Stanley Druckenmiller,Stanley Druckenmiller,Sohn 2022,Video,https://twitter.com/Tyler_Rongione/status/1552696736270925826?s=20&t=3Bv4ixe7lvuLqe3CjLwoVw,"September 3, 2022",2,https://twitter.com/i/lists/1493641106155790336,,
Patrick O'Shaughnessy,Passion & Pain,David Senra,Invest Like the Best,Podcast,https://twitter.com/Tyler_Rongione/status/1565048810237267971?s=20&t=Jbu1ivNYZ7s5yrP56a870A,"August 31, 2022",3,https://twitter.com/i/lists/1493641106155790336,,
Corey Hoffstein,Market Tremors & Tail Hedging,Hari Krishnan,Flirting with Models,Podcast,https://twitter.com/Tyler_Rongione/status/1557108348692094985,"August 8, 2022",2,https://twitter.com/i/lists/1493369580571578377,,
Jason Buck,Man + Machine,Devin Anderson,Mutiny Invest,Podcast,https://twitter.com/Tyler_Rongione/status/1542508783150059520?s=20&t=3Bv4ixe7lvuLqe3CjLwoVw,"June 30, 2022",2,https://twitter.com/i/lists/1493641061390037002,,
Jason Buck,Flirting with Corey,Corey Hoffstein,Mutiny Invest,Podcast,https://twitter.com/Tyler_Rongione/status/1531688767068700673?s=20&t=3Bv4ixe7lvuLqe3CjLwoVw,"May 31, 2022",2,https://twitter.com/i/lists/1493369580571578377,,
David Senra,Ed Thorp,Himself,Founders,Podcast,https://open.spotify.com/episode/22qcWWLSZheEysQEbjkUKs,"March 10, 2022",2,https://twitter.com/i/lists/1493641061390037002,,
